label,group,description,value,unit,rationale,reference,link
Fact_M_budget_CO2_world_2020,ui,Weltweites CO2 Budget 2020,400000000000,t,"CO2-Budget ab 01.01.2020, um mit 67% Chance 1.5-Grad-Limit einzuhalten","IPCC SAR6 2021, S.39",https://www.ipcc.ch/report/ar6/wg1/#SPM
Fact_M_emission_C_world_2015,ui,Weltweite Emissionen 2015 in t C,11200000000.000002,t/a,,"ESSD Model 2016, Table 8",https://essd.copernicus.org/articles/8/605/2016/essd-8-605-2016.pdf
Fact_M_emission_C_world_2016,ui,Weltweite Emissionen 2016 in t C,11200000000,t/a,,"ESSD Model 2017, Tabel 6",https://essd.copernicus.org/articles/10/405/2018/essd-10-405-2018.pdf
Fact_M_emission_C_world_2017,ui,Weltweite Emissionen 2017 in t C,11300000000,t/a,,"ESSD Model 2018, Tabel 6",https://essd.copernicus.org/articles/10/2141/2018/#section3&gid=1&pid=1
Fact_M_emission_C_world_2018,ui,Weltweite Emissionen 2018 in t C,11500000000,t/a,,"ESSD Model 2019, Tabel 6",https://essd.copernicus.org/articles/11/1783/2019/#section3
Fact_M_emission_C_world_2019,ui,Weltweite Emissionen 2019 in t C,11500000000,t/a,,"ESSD Model 2020, Tabel 6",https://essd.copernicus.org/articles/12/3269/2020/#section5
Fact_M_emission_ratio_CO2_to_C,ui,Factor GtC to Gt CO2,3.6641412038964285,,conversion from GtC to Gt CO2 with 44.01/12.011 in mass equivalent,"e.g. ESSD Model 2018 Table 1, p. 409",https://essd.copernicus.org/articles/10/405/2018/essd-10-405-2018.pdf
Fact_M_emission_CO2_world_2015,ufyi,Weltweite Emissionen 2015 in t Co2,41038381483.64001,t/a,Berechnung,,
Fact_M_emission_CO2_world_2016,ui,Weltweite Emissionen 2016 in t Co2,41038381483.64,t/a,Berechnung,,
Fact_M_emission_CO2_world_2017,ui,Weltweite Emissionen 2017 in t Co2,41404795604.02964,t/a,Berechnung,,
Fact_M_emission_CO2_world_2018,ui,Weltweite Emissionen 2018 in t Co2,42137623844.80893,t/a,Berechnung,,
Fact_M_emission_CO2_world_2019,ui,Weltweite Emissionen 2019 in t Co2,42137623844.80893,t/a,Berechnung,,
Fact_M_emission_CO2_world_2016_2019,ui,Weltweite CO2 Emissionen 2016-2019 in t CO2,166718424777.2875,t/a,Summe der weltweiten CO2-Emissionen 2016-2019,,
Fact_M_budget_CO2_world_2016,ui,Weltweites CO2 Budget 2016,566718424777.2875,t,CO2-Budget vom 01.01.2020 plus CO2-Emissionen 2016-2019,s.o.,
Fact_M_population_world_2015,ui,Weltbevölkerung 31.12.2015,7350000000,,"nicht ganz klar, ob Zahlen auf 31.12. referenzieren, aber zB bei deutschen Daten üblich",,https://de.statista.com/statistik/daten/studie/1716/umfrage/entwicklung-der-weltbevoelkerung/
Fact_M_population_germany_2015,ui,Bevölkerung Deutschland 31.12.2015,82180000,,,Statista,https://de.statista.com/statistik/daten/studie/2861/umfrage/entwicklung-der-gesamtbevoelkerung-deutschlands/
Fact_M_budget_CO2_germany_2016,ufyi,Deutsches CO2 Budget 01.01.2016,6336451720.843195,t,Berechnung,,
Fact_M_CO2e_w_lulucf_2015,ufyi,Emissionen mit LULUCF Deutschland 2015,884946000,t/a,Offizieller Wert,"UBA 2021 Trendtabelle THG 1990-2020, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_w_lulucf_2016,ufyi,Emissionen mit LULUCF Deutschland 2016,887900000,t/a,Offizieller Wert,"UBA 2021 Trendtabelle THG 1990-2020, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_w_lulucf_2017,ufyi,Emissionen mit LULUCF Deutschland 2017,871537000,t/a,Offizieller Wert,"UBA 2021 Trendtabelle THG 1990-2020, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_w_lulucf_2018,ufyi,Emissionen mit LULUCF Deutschland 2018,837604000,t/a,Offizieller Wert,"UBA 2021 Trendtabelle THG 1990-2020, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_w_lulucf_2019,ufyi,Emissionen mit LULUCF Deutschland 2019,793335000,t/a,Offizieller Wert,"UBA 2021 Trendtabelle THG 1990-2020, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
Fact_M_CO2e_w_lulucf_2020,ufyi,Emissionen mit LULUCF Deutschland 2020,722979000,t/a,Offizielle Schätzung,"UBA 2021 Trendtabelle THG 1990-2020, Blatt THG",https://www.umweltbundesamt.de/themen/klima-energie/treibhausgas-emissionen
